Train=True,epoch,epoch_examples,sample=(batch_idx * len(data)),loss,lr,rc
train,9,88770,0.690696,None,[0.0001],None
train,9,88992,0.807793,None,[0.0001],None
train,9,89214,0.642357,None,[0.0001],None
train,9,89436,0.692121,None,[0.0001],None
train,9,89658,0.800953,None,[0.0001],None
train,9,89658,0.800953,0.487201473,[0.0001],None
val,9,None,0.787645872,0.487796321,None,0.196743918
train,10,90000,0.802676,None,[0.0001],None
train,10,90222,0.782236,None,[0.0001],None
train,10,90444,0.639148,None,[0.0001],None
train,10,90666,0.797857,None,[0.0001],None
train,10,90888,0.72408,None,[0.0001],None
train,10,91110,0.694608,None,[0.0001],None
train,10,91332,0.729395,None,[0.0001],None
train,10,91554,0.672886,None,[0.0001],None
train,10,91776,0.699589,None,[0.0001],None
train,10,91998,0.742151,None,[0.0001],None
train,10,92220,0.744135,None,[0.0001],None
train,10,92442,0.733396,None,[0.0001],None
train,10,92664,0.678098,None,[0.0001],None
train,10,92886,0.620471,None,[0.0001],None
train,10,93108,0.686846,None,[0.0001],None
train,10,93330,0.730068,None,[0.0001],None
train,10,93552,0.807292,None,[0.0001],None
train,10,93774,0.686157,None,[0.0001],None
train,10,93996,0.621723,None,[0.0001],None
train,10,94218,0.764464,None,[0.0001],None
train,10,94440,0.713868,None,[0.0001],None
train,10,94662,0.606016,None,[0.0001],None
train,10,94884,0.635201,None,[0.0001],None
train,10,95106,0.668442,None,[0.0001],None
train,10,95328,0.645574,None,[0.0001],None
train,10,95550,0.717164,None,[0.0001],None
train,10,95772,0.654051,None,[0.0001],None
train,10,95994,0.738537,None,[0.0001],None
train,10,96216,0.699264,None,[0.0001],None
train,10,96438,0.645808,None,[0.0001],None
train,10,96660,0.600753,None,[0.0001],None
train,10,96882,0.710391,None,[0.0001],None
train,10,97104,0.81774,None,[0.0001],None
train,10,97326,0.594041,None,[0.0001],None
train,10,97548,0.611861,None,[0.0001],None
train,10,97770,0.67871,None,[0.0001],None
train,10,97992,0.727435,None,[0.0001],None
train,10,98214,0.559624,None,[0.0001],None
train,10,98436,0.707268,None,[0.0001],None
train,10,98658,0.6444,None,[0.0001],None
train,10,98658,0.6444,0.476158623,[0.0001],None
val,10,None,0.69124966,0.492200399,None,0.17264485
train,11,99000,0.636606,None,[0.0001],None
train,11,99222,0.679665,None,[0.0001],None
train,11,99444,0.692049,None,[0.0001],None
train,11,99666,0.672844,None,[0.0001],None
train,11,99888,0.691241,None,[0.0001],None
train,11,100110,0.704843,None,[0.0001],None
train,11,100332,0.61965,None,[0.0001],None
train,11,100554,0.673262,None,[0.0001],None
train,11,100776,0.648374,None,[0.0001],None
train,11,100998,0.735423,None,[0.0001],None
train,11,101220,0.597669,None,[0.0001],None
train,11,101442,0.653532,None,[0.0001],None
train,11,101664,0.723907,None,[0.0001],None
train,11,101886,0.688453,None,[0.0001],None
train,11,102108,0.568739,None,[0.0001],None
train,11,102330,0.702018,None,[0.0001],None
train,11,102552,0.538823,None,[0.0001],None
train,11,102774,0.592193,None,[0.0001],None
train,11,102996,0.657442,None,[0.0001],None
train,11,103218,0.66882,None,[0.0001],None
train,11,103440,0.737665,None,[0.0001],None
train,11,103662,0.620228,None,[0.0001],None
train,11,103884,0.78993,None,[0.0001],None
train,11,104106,0.672008,None,[0.0001],None
train,11,104328,0.543387,None,[0.0001],None
train,11,104550,0.706643,None,[0.0001],None
train,11,104772,0.602213,None,[0.0001],None
train,11,104994,0.699837,None,[0.0001],None
train,11,105216,0.601761,None,[0.0001],None
train,11,105438,0.699539,None,[0.0001],None
train,11,105660,0.715294,None,[0.0001],None
train,11,105882,0.717301,None,[0.0001],None
